Queue,Name,Type,Department,SLA Duration,Source Market
45806d2f-da12-e711-810f-1458d041f8e8,Come Back,Public,,,
5853b861-27ff-e611-810c-1458d041f8e8,Connected Services - Admin,Public,,,
01d2820a-8214-e711-810c-3863bb34fb48,Connected Services - BE,Public,,,
f44d0549-27ff-e611-810c-1458d041f8e8,Connected Services - CZ,Public,,,
43ea60f8-24ff-e611-810c-1458d041f8e8,Connected Services - DE,Public,,,
350e2519-25ff-e611-810c-1458d041f8e8,Connected Services - DE Signature,Public,,,
00edbd12-26ff-e611-810c-1458d041f8e8,Connected Services - FR,Public,,,
89fc7920-27ff-e611-810c-1458d041f8e8,Connected Services - HU,Public,,,
68d840a0-27ff-e611-810c-1458d041f8e8,Connected Services - Media,Public,,,
ee201c3e-25ff-e611-810c-1458d041f8e8,Connected Services - NL,Public,,,
f0f03a0b-27ff-e611-810c-1458d041f8e8,Connected Services - PL,Public,,,
358b5b8f-27ff-e611-810c-1458d041f8e8,Connected Services - Senior,Public,,,
aaed16cf-24ff-e611-810c-1458d041f8e8,Connected Services - UK,Public,,,
61533ce0-24ff-e611-810c-1458d041f8e8,Connected Services - UK Signature,Private,,,
997879f3-1d20-e711-810c-3863bb34fb48,Customer Relations - Germany,Public,Customer Relations,,Germany
7f16fbce-3103-e711-810d-1458d041f8e8,Flight Delay,Public,,14 Days,
f06f406f-24ff-e611-810c-1458d041f8e8,iDS - EG,Public,,,
56a6c5ac-24ff-e611-810c-1458d041f8e8,iDS - Gran Canaria,Public,,,
0d543cbd-24ff-e611-810c-1458d041f8e8,iDS - MX,Public,,,
7deb309e-3420-e711-810c-3863bb34fb48,iDS Rep - DE,Public,In Destination Rep,,Germany
9d924ac6-3103-e711-810d-1458d041f8e8,Level 1,Public,,14 Days,
ad75685b-e619-e711-810d-3863bb340dd8,Level 2,Public,,,
94fba956-3103-e711-810d-1458d041f8e8,Level 2 - 3rd Party,Public,,28 Days,
999825ae-3103-e711-810d-1458d041f8e8,Level 2 - Cruise,Public,,28 Days,
a49a2c9b-3103-e711-810d-1458d041f8e8,Level 2 - Flexible Trips & City Escapes,Public,,28 Days,
6604e663-3103-e711-810d-1458d041f8e8,Level 2 - Key Accounts,Public,,28 Days,
9f2ae144-3103-e711-810d-1458d041f8e8,Level 2 - Mainstream,Public,,14 Days,
d76a36bc-3103-e711-810d-1458d041f8e8,Level 2 - Medhotels,Public,,28 Days,
5eca1a84-3103-e711-810d-1458d041f8e8,Level 2 - Signature,Public,,28 Days,
83c8a51a-3103-e711-810d-1458d041f8e8,Level 3 - Director's Office,Public,,7 Days,
7ad0172f-3103-e711-810d-1458d041f8e8,Level 3 - Personal Injury/Illness,Public,,56 Days,
936e273b-3103-e711-810d-1458d041f8e8,Level 3 - Press Office,Public,,7 Days,
98a46acd-3003-e711-810d-1458d041f8e8,Level 3 - Sport,Public,,7 Days,
cb9de311-3203-e711-810d-1458d041f8e8,Triage (Customer Relations Main),Public,,2 Days,United Kingdom
