"Queue","Name","Type"
"5853b861-27ff-e611-810c-1458d041f8e8","Connected Services - Admin","Public"
"f44d0549-27ff-e611-810c-1458d041f8e8","Connected Services - CZ","Public"
"43ea60f8-24ff-e611-810c-1458d041f8e8","Connected Services - DE","Public"
"350e2519-25ff-e611-810c-1458d041f8e8","Connected Services - DE Signature","Public"
"00edbd12-26ff-e611-810c-1458d041f8e8","Connected Services - FR","Public"
"89fc7920-27ff-e611-810c-1458d041f8e8","Connected Services - HU","Public"
"68d840a0-27ff-e611-810c-1458d041f8e8","Connected Services - Media","Public"
"ee201c3e-25ff-e611-810c-1458d041f8e8","Connected Services - NL","Public"
"f0f03a0b-27ff-e611-810c-1458d041f8e8","Connected Services - PL","Public"
"358b5b8f-27ff-e611-810c-1458d041f8e8","Connected Services - Senior","Public"
"aaed16cf-24ff-e611-810c-1458d041f8e8","Connected Services - UK","Public"
"61533ce0-24ff-e611-810c-1458d041f8e8","Connected Services - UK Signature","Public"
"7f16fbce-3103-e711-810d-1458d041f8e8","Flight Delay","Public"
"f06f406f-24ff-e611-810c-1458d041f8e8","iDS - EG","Public"
"56a6c5ac-24ff-e611-810c-1458d041f8e8","iDS - Gran Canaria","Public"
"0d543cbd-24ff-e611-810c-1458d041f8e8","iDS - MX","Public"
"9d924ac6-3103-e711-810d-1458d041f8e8","Level 1","Public"
"94fba956-3103-e711-810d-1458d041f8e8","Level 2 - 3rd Party","Public"
"999825ae-3103-e711-810d-1458d041f8e8","Level 2 - Cruise","Public"
"a49a2c9b-3103-e711-810d-1458d041f8e8","Level 2 - Flexible Trips & City Escapes","Public"
"6604e663-3103-e711-810d-1458d041f8e8","Level 2 - Key Accounts","Public"
"9f2ae144-3103-e711-810d-1458d041f8e8","Level 2 - Mainstream","Public"
"d76a36bc-3103-e711-810d-1458d041f8e8","Level 2 - Medhotels","Public"
"5eca1a84-3103-e711-810d-1458d041f8e8","Level 2 - Signature","Public"
"83c8a51a-3103-e711-810d-1458d041f8e8","Level 3 - Director's Office","Public"
"7ad0172f-3103-e711-810d-1458d041f8e8","Level 3 - Personal Injury/Illness","Public"
"936e273b-3103-e711-810d-1458d041f8e8","Level 3 - Press Office","Public"
"98a46acd-3003-e711-810d-1458d041f8e8","Level 3 - Sport","Public"
"cb9de311-3203-e711-810d-1458d041f8e8","Triage","Public"
